"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Eddi\Documents\NodeCode\notepending\src\Ui\Pages\Home.jsx", "JavaScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\Eddi\Documents\NodeCode\notepending\src\Ui\Pages\seleccion-proyecto.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 0, 0, 0, 10, 111
"c:\Users\Eddi\Documents\NodeCode\notepending\src\Ui\Pages\tablero-personal.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 0, 0, 0, 8, 109
"c:\Users\Eddi\Documents\NodeCode\notepending\src\Ui\Pages\tablero-proyecto.jsx", "JavaScript JSX", 183, 0, 0, 0, 0, 0, 0, 3, 20, 206
"c:\Users\Eddi\Documents\NodeCode\notepending\src\Ui\ProyectContext.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 5, 5, 28
"c:\Users\Eddi\Documents\NodeCode\notepending\src\Ui\UserContext.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 5, 5, 32
"c:\Users\Eddi\Documents\NodeCode\notepending\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Eddi\Documents\NodeCode\notepending\src\index.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Eddi\Documents\NodeCode\notepending\src\main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Eddi\Documents\NodeCode\notepending\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 1, 13
"c:\Users\Eddi\Documents\NodeCode\notepending\vite.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"Total", "-", 1805, 720, 3, 2, 6338, 5, 13, 54, 290, 9230
